Histogram of the parameter D,,,,,,
Bin,Frequency,probability,CDF,centre,,
0.05,1,0.003401361,0.003401361,0.022895376,,
0.29,111,0.37755102,0.380952381,0.16675263,,0.119047619
0.53,84,0.285714286,0.666666667,0.408676386,,-0.166666667
0.77,45,0.153061224,0.819727891,0.650600141,,
1.01,30,0.102040816,0.921768707,0.892523896,,
1.26,13,0.044217687,0.965986395,1.134447652,,
1.5,6,0.020408163,0.986394558,1.376371407,,
1.74,0,0,0.986394558,1.618295163,,
1.98,0,0,0.986394558,1.860218918,,
2.22,0,0,0.986394558,2.102142673,,
2.47,1,0.003401361,0.989795918,2.344066429,,
2.71,0,0,0.989795918,2.585990184,,
2.95,2,0.006802721,0.996598639,2.827913939,,
3.19,0,0,0.996598639,3.069837695,,
3.43,0,0,0.996598639,3.31176145,,
3.67,0,0,0.996598639,3.553685206,,
3.92,0,0,0.996598639,3.795608961,,
More,1,0.003401361,1,#VALUE!,,
,,,,,,
,294,,,,,
