Histogram of parameter b,,,,
Bin,Frequency,probability,cdf,
5.01E-11,1,0.003401361,0.0034013605,
0.139363022,13,0.044217687,0.0476190476,
0.278726044,13,0.044217687,0.0918367347,
0.418089066,9,0.030612245,0.1224489796,
0.557452088,23,0.078231293,0.2006802721,
0.69681511,18,0.06122449,0.2619047619,
0.836178132,33,0.112244898,0.3741496599,
0.975541154,31,0.105442177,0.4795918367,
1.114904176,31,0.105442177,0.5850340136,
1.254267198,35,0.119047619,0.7040816327,
1.393630219,24,0.081632653,0.7857142857,
1.532993241,20,0.068027211,0.8537414966,
1.672356263,14,0.047619048,0.9013605442,
1.811719285,4,0.013605442,0.9149659864,
1.951082307,9,0.030612245,0.9455782313,
2.090445329,8,0.027210884,0.9727891156,
2.229808351,5,0.017006803,0.9897959184,
More,3,0.010204082,1.0000000000,
,,,,
,,,,
,294,1,,
